miRNA_name,evidence
['hsa-mir-150'],['dbDEMC']
['hsa-mir-142'],['Unconfirmed']
['hsa-mir-15b'],['dbDEMC']
['hsa-mir-106a'],['dbDEMC']
['hsa-mir-192'],['dbDEMC']
['hsa-mir-99a'],['dbDEMC']
['hsa-mir-378a'],['Unconfirmed']
['hsa-mir-130a'],['dbDEMC']
['hsa-mir-138'],['dbDEMC']
['hsa-mir-196b'],['dbDEMC']
['hsa-mir-212'],['dbDEMC']
['hsa-mir-30e'],['Unconfirmed']
['hsa-mir-372'],['dbDEMC']
['hsa-mir-181c'],['dbDEMC']
['hsa-mir-98'],['dbDEMC and miR2Disease']
['hsa-mir-208a'],['Unconfirmed']
['hsa-mir-144'],['dbDEMC']
['hsa-mir-92b'],['dbDEMC']
['hsa-mir-99b'],['dbDEMC']
['hsa-mir-424'],['dbDEMC']
['hsa-mir-483'],['dbDEMC']
['hsa-mir-28'],['dbDEMC']
['hsa-mir-494'],['Unconfirmed']
['hsa-mir-184'],['dbDEMC']
['hsa-mir-130b'],['dbDEMC']
['hsa-mir-370'],['dbDEMC']
['hsa-mir-181d'],['dbDEMC and miR2Disease']
['hsa-mir-574'],['dbDEMC']
['hsa-mir-491'],['dbDEMC']
['hsa-mir-542'],['Unconfirmed']
['hsa-mir-32'],['dbDEMC']
['hsa-mir-363'],['dbDEMC']
['hsa-mir-134'],['dbDEMC']
['hsa-mir-449a'],['Unconfirmed']
['hsa-mir-186'],['dbDEMC']
['hsa-mir-371a'],['Unconfirmed']
['hsa-mir-381'],['dbDEMC']
['hsa-mir-211'],['dbDEMC']
['hsa-mir-95'],['dbDEMC']
['hsa-mir-362'],['dbDEMC']
['hsa-mir-449b'],['Unconfirmed']
['hsa-mir-185'],['dbDEMC']
['hsa-mir-208b'],['Unconfirmed']
['hsa-mir-503'],['dbDEMC']
['hsa-mir-198'],['dbDEMC']
['hsa-mir-432'],['dbDEMC']
['hsa-mir-485'],['Unconfirmed']
['hsa-mir-433'],['dbDEMC']
['hsa-mir-376a'],['dbDEMC']
['hsa-mir-154'],['dbDEMC']
['hsa-mir-330'],['dbDEMC']
['hsa-mir-498'],['dbDEMC']
['hsa-mir-484'],['dbDEMC']
['hsa-mir-1224'],['Unconfirmed']
['hsa-mir-550a'],['Unconfirmed']
['hsa-mir-421'],['dbDEMC']
['hsa-mir-216a'],['Unconfirmed']
['hsa-mir-539'],['dbDEMC']
['hsa-mir-323a'],['Unconfirmed']
['hsa-mir-650'],['dbDEMC']
['hsa-mir-337'],['dbDEMC']
['hsa-mir-216b'],['Unconfirmed']
['hsa-mir-33a'],['Unconfirmed']
['hsa-mir-422a'],['dbDEMC']
['hsa-mir-509'],['Unconfirmed']
['hsa-mir-302f'],['Unconfirmed']
['hsa-mir-190a'],['Unconfirmed']
['hsa-mir-217'],['dbDEMC']
['hsa-mir-454'],['Unconfirmed']
['hsa-mir-520e'],['dbDEMC']
['hsa-mir-361'],['dbDEMC']
['hsa-mir-532'],['dbDEMC']
['hsa-mir-431'],['dbDEMC']
['hsa-mir-517a'],['dbDEMC']
['hsa-mir-410'],['dbDEMC']
['hsa-mir-33b'],['Unconfirmed']
['hsa-mir-382'],['dbDEMC']
['hsa-mir-652'],['dbDEMC']
['hsa-mir-720'],['Unconfirmed']
['hsa-mir-885'],['Unconfirmed']
