miRNA_name,evidence
['hsa-mir-133a'],['Unconfirmed']
['hsa-mir-143'],['dbDEMC']
['hsa-mir-9'],['Unconfirmed']
['hsa-mir-34b'],['Unconfirmed']
['hsa-mir-206'],['Unconfirmed']
['hsa-mir-27b'],['dbDEMC']
['hsa-mir-429'],['Unconfirmed']
['hsa-mir-23b'],['Unconfirmed']
['hsa-mir-132'],['Unconfirmed']
['hsa-mir-342'],['dbDEMC']
['hsa-mir-193b'],['Unconfirmed']
['hsa-mir-137'],['Unconfirmed']
['hsa-mir-26b'],['dbDEMC']
['hsa-mir-196b'],['Unconfirmed']
['hsa-mir-204'],['Unconfirmed']
['hsa-mir-302a'],['Unconfirmed']
['hsa-mir-135b'],['Unconfirmed']
['hsa-mir-128'],['Unconfirmed']
['hsa-mir-328'],['Unconfirmed']
['hsa-mir-149'],['Unconfirmed']
['hsa-mir-708'],['Unconfirmed']
['hsa-mir-194'],['dbDEMC']
['hsa-mir-30e'],['Unconfirmed']
['hsa-mir-28'],['dbDEMC']
['hsa-mir-424'],['dbDEMC']
['hsa-mir-184'],['Unconfirmed']
['hsa-mir-494'],['Unconfirmed']
['hsa-mir-574'],['Unconfirmed']
['hsa-mir-367'],['Unconfirmed']
['hsa-mir-302d'],['Unconfirmed']
['hsa-mir-663a'],['Unconfirmed']
['hsa-mir-32'],['Unconfirmed']
['hsa-mir-339'],['Unconfirmed']
['hsa-mir-215'],['Unconfirmed']
['hsa-mir-625'],['Unconfirmed']
['hsa-mir-363'],['Unconfirmed']
['hsa-mir-452'],['Unconfirmed']
['hsa-mir-449a'],['Unconfirmed']
['hsa-mir-153'],['Unconfirmed']
['hsa-mir-186'],['Unconfirmed']
['hsa-mir-371a'],['Unconfirmed']
['hsa-mir-211'],['Unconfirmed']
['hsa-mir-95'],['Unconfirmed']
['hsa-mir-185'],['dbDEMC']
['hsa-mir-376c'],['Unconfirmed']
['hsa-mir-520h'],['Unconfirmed']
['hsa-mir-638'],['Unconfirmed']
['hsa-mir-103b'],['Unconfirmed']
['hsa-mir-433'],['Unconfirmed']
['hsa-mir-383'],['Unconfirmed']
['hsa-mir-513a'],['Unconfirmed']
['hsa-mir-520a'],['Unconfirmed']
['hsa-mir-520c'],['Unconfirmed']
['hsa-mir-151b'],['Unconfirmed']
['hsa-mir-154'],['Unconfirmed']
['hsa-mir-495'],['Unconfirmed']
['hsa-mir-340'],['Unconfirmed']
['hsa-mir-519c'],['Unconfirmed']
['hsa-mir-337'],['Unconfirmed']
['hsa-mir-539'],['Unconfirmed']
['hsa-mir-323a'],['Unconfirmed']
['hsa-mir-422a'],['dbDEMC']
['hsa-mir-216b'],['Unconfirmed']
['hsa-mir-33a'],['Unconfirmed']
['hsa-mir-509'],['Unconfirmed']
['hsa-mir-302f'],['Unconfirmed']
['hsa-mir-454'],['Unconfirmed']
['hsa-mir-299'],['Unconfirmed']
['hsa-mir-584'],['Unconfirmed']
['hsa-mir-488'],['Unconfirmed']
['hsa-mir-516a'],['Unconfirmed']
['hsa-mir-410'],['Unconfirmed']
['hsa-mir-431'],['Unconfirmed']
['hsa-mir-652'],['Unconfirmed']
['hsa-mir-382'],['Unconfirmed']
['hsa-mir-885'],['Unconfirmed']
['hsa-mir-33b'],['Unconfirmed']
['hsa-mir-504'],['Unconfirmed']
['hsa-mir-720'],['Unconfirmed']
['hsa-mir-455'],['Unconfirmed']
['hsa-mir-302e'],['Unconfirmed']
['hsa-mir-1246'],['Unconfirmed']
