miRNA_name,evidence
['hsa-mir-146a'],['dbDEMC']
['hsa-mir-16'],['Unconfirmed']
['hsa-mir-19b'],['Unconfirmed']
['hsa-mir-17'],['Unconfirmed']
['hsa-mir-20a'],['Unconfirmed']
['hsa-mir-29b'],['miR2Disease']
['hsa-mir-92a'],['Unconfirmed']
['hsa-mir-29a'],['Unconfirmed']
['hsa-mir-19a'],['miR2Disease']
['hsa-mir-222'],['Unconfirmed']
['hsa-mir-126'],['dbDEMC']
['hsa-mir-122'],['Unconfirmed']
['hsa-mir-200b'],['Unconfirmed']
['hsa-mir-133b'],['dbDEMC']
['hsa-mir-210'],['miR2Disease']
['hsa-mir-199a'],['dbDEMC']
['hsa-mir-106b'],['Unconfirmed']
['hsa-mir-200a'],['miR2Disease']
['hsa-mir-150'],['dbDEMC']
['hsa-mir-34c'],['Unconfirmed']
['hsa-mir-15b'],['Unconfirmed']
['hsa-mir-30a'],['Unconfirmed']
['hsa-mir-214'],['dbDEMC and miR2Disease']
['hsa-mir-182'],['Unconfirmed']
['hsa-mir-148a'],['miR2Disease']
['hsa-mir-196a'],['dbDEMC']
['hsa-mir-124'],['Unconfirmed']
['hsa-mir-26a'],['Unconfirmed']
['hsa-mir-24'],['Unconfirmed']
['hsa-mir-183'],['Unconfirmed']
['hsa-mir-34b'],['Unconfirmed']
['hsa-mir-486'],['dbDEMC']
['hsa-mir-206'],['dbDEMC']
['hsa-mir-10b'],['dbDEMC']
['hsa-mir-106a'],['Unconfirmed']
['hsa-mir-23a'],['Unconfirmed']
['hsa-mir-27a'],['Unconfirmed']
['hsa-mir-30b'],['miR2Disease']
['hsa-mir-192'],['Unconfirmed']
['hsa-mir-93'],['Unconfirmed']
['hsa-mir-218'],['Unconfirmed']
['hsa-mir-451a'],['Unconfirmed']
['hsa-mir-22'],['miR2Disease']
['hsa-mir-132'],['Unconfirmed']
['hsa-mir-25'],['Unconfirmed']
['hsa-mir-23b'],['Unconfirmed']
['hsa-mir-429'],['Unconfirmed']
['hsa-mir-199b'],['dbDEMC']
['hsa-mir-335'],['Unconfirmed']
['hsa-mir-224'],['Unconfirmed']
['hsa-mir-30c'],['Unconfirmed']
['hsa-mir-378a'],['Unconfirmed']
['hsa-mir-103a'],['Unconfirmed']
['hsa-mir-342'],['Unconfirmed']
['hsa-mir-20b'],['Unconfirmed']
['hsa-mir-96'],['Unconfirmed']
['hsa-mir-137'],['Unconfirmed']
['hsa-mir-127'],['Unconfirmed']
['hsa-mir-373'],['miR2Disease']
['hsa-mir-193a'],['Unconfirmed']
['hsa-mir-140'],['Unconfirmed']
['hsa-mir-196b'],['dbDEMC']
['hsa-mir-212'],['Unconfirmed']
['hsa-mir-128'],['Unconfirmed']
['hsa-mir-151a'],['Unconfirmed']
['hsa-mir-10a'],['Unconfirmed']
['hsa-mir-497'],['Unconfirmed']
['hsa-mir-135b'],['Unconfirmed']
['hsa-mir-30d'],['Unconfirmed']
['hsa-mir-152'],['Unconfirmed']
['hsa-mir-328'],['Unconfirmed']
['hsa-mir-135a'],['Unconfirmed']
['hsa-mir-296'],['Unconfirmed']
['hsa-mir-30e'],['miR2Disease']
['hsa-mir-149'],['Unconfirmed']
['hsa-mir-372'],['Unconfirmed']
['hsa-mir-338'],['Unconfirmed']
['hsa-mir-194'],['Unconfirmed']
['hsa-mir-219'],['Unconfirmed']
['hsa-mir-708'],['Unconfirmed']
['hsa-mir-181c'],['Unconfirmed']
['hsa-mir-320a'],['Unconfirmed']
['hsa-mir-98'],['miR2Disease']
['hsa-mir-191'],['miR2Disease']
['hsa-mir-208a'],['Unconfirmed']
['hsa-mir-129'],['Unconfirmed']
['hsa-mir-144'],['Unconfirmed']
['hsa-mir-92b'],['Unconfirmed']
['hsa-mir-99b'],['Unconfirmed']
['hsa-mir-424'],['miR2Disease']
['hsa-mir-483'],['Unconfirmed']
