miRNA_name,evidence
['hsa-mir-16'],['dbDEMC and miR2Disease']
['hsa-mir-15a'],['dbDEMC']
['hsa-mir-122'],['Unconfirmed']
['hsa-mir-106b'],['dbDEMC']
['hsa-mir-15b'],['dbDEMC']
['hsa-mir-195'],['dbDEMC and miR2Disease']
['hsa-mir-141'],['dbDEMC and miR2Disease']
['hsa-mir-451a'],['Unconfirmed']
['hsa-mir-429'],['dbDEMC and miR2Disease']
['hsa-mir-23b'],['dbDEMC']
['hsa-mir-378a'],['Unconfirmed']
['hsa-mir-99a'],['dbDEMC and miR2Disease']
['hsa-mir-342'],['dbDEMC']
['hsa-mir-130a'],['dbDEMC and miR2Disease']
['hsa-mir-20b'],['dbDEMC']
['hsa-mir-193b'],['dbDEMC']
['hsa-mir-373'],['dbDEMC']
['hsa-mir-196b'],['dbDEMC']
['hsa-mir-302b'],['dbDEMC']
['hsa-mir-302a'],['Unconfirmed']
['hsa-mir-204'],['miR2Disease']
['hsa-mir-151a'],['Unconfirmed']
['hsa-mir-10a'],['dbDEMC']
['hsa-mir-372'],['Unconfirmed']
['hsa-mir-302c'],['dbDEMC']
['hsa-mir-152'],['dbDEMC']
['hsa-mir-328'],['dbDEMC']
['hsa-mir-296'],['dbDEMC']
['hsa-mir-320a'],['Unconfirmed']
['hsa-mir-708'],['Unconfirmed']
['hsa-mir-194'],['Unconfirmed']
['hsa-mir-149'],['dbDEMC']
['hsa-mir-129'],['Unconfirmed']
['hsa-mir-208a'],['Unconfirmed']
['hsa-mir-92b'],['Unconfirmed']
['hsa-mir-144'],['dbDEMC']
['hsa-mir-424'],['Unconfirmed']
['hsa-mir-130b'],['dbDEMC']
['hsa-mir-99b'],['Unconfirmed']
['hsa-mir-483'],['dbDEMC']
['hsa-mir-28'],['dbDEMC']
['hsa-mir-184'],['Unconfirmed']
['hsa-mir-370'],['Unconfirmed']
['hsa-mir-181d'],['dbDEMC']
['hsa-mir-148b'],['dbDEMC']
['hsa-mir-139'],['dbDEMC and miR2Disease']
['hsa-mir-491'],['Unconfirmed']
